processes n error time
1 2 9.9562426373234203E-004 4.1580991819500923E-005
1 4 8.8140761533850309E-007 5.3717987611889839E-005
1 8 1.1901590823981678E-012 2.0591018255800009E-005
1 16 1.3322676295501878E-015 2.0231003873050213E-005
1 32 1.3322676295501878E-015 3.4946016967296600E-005
1 64 1.3322676295501878E-015 2.0303996279835701E-005
1 128 1.3322676295501878E-015 2.1288986317813396E-005
1 256 1.3322676295501878E-015 2.8246024157851934E-005
1 512 1.3322676295501878E-015 3.1959963962435722E-005
1 1024 1.3322676295501878E-015 5.3194991778582335E-005
1 2048 1.3322676295501878E-015 8.5746985860168934E-005
1 4096 1.3322676295501878E-015 1.6553897876292467E-004
1 8192 1.3322676295501878E-015 2.1735299378633499E-004
1 16384 1.3322676295501878E-015 3.0269095441326499E-004
1 32768 1.3322676295501878E-015 5.6693900842219591E-004
1 65536 1.3322676295501878E-015 1.1591890361160040E-003
1 131072 1.3322676295501878E-015 2.1718460484407842E-003
1 262144 1.3322676295501878E-015 4.1385740041732788E-003
1 524288 1.3322676295501878E-015 7.2851139702834189E-003
1 1048576 1.3322676295501878E-015 1.3367970008403063E-002
1 2097152 1.3322676295501878E-015 2.6040773955173790E-002
1 4194304 1.3322676295501878E-015 5.1836749946232885E-002
1 8388608 1.3322676295501878E-015 0.10160885797813535
1 16777216 1.3322676295501878E-015 0.20135703997220844
2 2 9.9562426373234203E-004 9.8771008197218180E-005
2 4 8.8140761533850309E-007 8.6480984464287758E-005
2 8 1.1906031716080179E-012 1.0650698095560074E-004
2 16 8.8817841970012523E-016 1.3453897554427385E-004
2 32 1.3322676295501878E-015 1.4060601824894547E-004
2 64 1.3322676295501878E-015 1.9029196118935943E-004
2 128 1.3322676295501878E-015 1.3800599845126271E-004
2 256 1.3322676295501878E-015 1.8084398470818996E-004
2 512 1.3322676295501878E-015 1.8693995662033558E-004
2 1024 1.3322676295501878E-015 1.8930400256067514E-004
2 2048 1.3322676295501878E-015 2.3667200002819300E-004
2 4096 1.3322676295501878E-015 3.2146996818482876E-004
2 8192 1.3322676295501878E-015 8.4816970047540963E-003
2 16384 1.3322676295501878E-015 5.4336804896593094E-004
2 32768 1.3322676295501878E-015 7.0484500611200929E-004
2 65536 1.3322676295501878E-015 1.2019859859719872E-003
2 131072 1.3322676295501878E-015 2.2460190230049193E-003
2 262144 1.3322676295501878E-015 4.8538880073465407E-003
2 524288 1.3322676295501878E-015 1.0387028974946588E-002
2 1048576 1.3322676295501878E-015 1.9794516963884234E-002
2 2097152 1.3322676295501878E-015 3.2118442992214113E-002
2 4194304 1.3322676295501878E-015 5.5396899988409132E-002
2 8388608 1.3322676295501878E-015 9.8671968036796898E-002
2 16777216 1.3322676295501878E-015 0.18786781001836061
4 4 8.8140761533850309E-007 1.3006397057324648E-004
4 8 1.1906031716080179E-012 1.2821803102269769E-004
4 16 4.4408920985006262E-016 2.3055798374116421E-004
4 32 8.8817841970012523E-016 1.5030300710350275E-004
4 64 1.3322676295501878E-015 2.5262200506404042E-004
4 128 1.3322676295501878E-015 2.4844601284712553E-004
4 256 1.3322676295501878E-015 1.8960400484502316E-004
4 512 1.3322676295501878E-015 1.7289497191086411E-004
4 1024 1.3322676295501878E-015 2.2552901646122336E-004
4 2048 1.3322676295501878E-015 2.0815298194065690E-004
4 4096 1.3322676295501878E-015 3.0775502091273665E-004
4 8192 1.3322676295501878E-015 8.7771198013797402E-004
4 16384 1.3322676295501878E-015 1.0457150056026876E-003
4 32768 1.3322676295501878E-015 1.3169340090826154E-003
4 65536 1.3322676295501878E-015 1.7036140197888017E-003
4 131072 1.3322676295501878E-015 2.8208650182932615E-003
4 262144 1.3322676295501878E-015 4.7264830209314823E-003
4 524288 1.3322676295501878E-015 7.6664559892378747E-003
4 1048576 1.3322676295501878E-015 1.3780060980934650E-002
4 2097152 1.3322676295501878E-015 2.4741385946981609E-002
4 4194304 1.3322676295501878E-015 4.6568718971684575E-002
4 8388608 1.3322676295501878E-015 9.1968703956808895E-002
4 16777216 1.3322676295501878E-015 0.17472411796916276
8 8 1.1906031716080179E-012 2.0430301083251834E-004
8 16 4.4408920985006262E-016 2.1474604727700353E-004
8 32 4.4408920985006262E-016 2.6380503550171852E-004
8 64 8.8817841970012523E-016 2.5562400696799159E-004
8 128 1.3322676295501878E-015 2.7438899269327521E-004
8 256 1.3322676295501878E-015 2.7185201179236174E-004
8 512 1.3322676295501878E-015 2.5605701375752687E-004
8 1024 1.3322676295501878E-015 2.7086900081485510E-004
8 2048 1.3322676295501878E-015 3.0829798197373748E-004
8 4096 1.3322676295501878E-015 3.0969199724495411E-004
8 8192 1.3322676295501878E-015 3.7150300340726972E-004
8 16384 1.3322676295501878E-015 1.5853509539738297E-003
8 32768 1.3322676295501878E-015 1.8093250109814107E-003
8 65536 1.3322676295501878E-015 2.4371510371565819E-003
8 131072 1.3322676295501878E-015 3.3084430033341050E-003
8 262144 1.3322676295501878E-015 5.3346999920904636E-003
8 524288 1.3322676295501878E-015 8.6887690122239292E-003
8 1048576 1.3322676295501878E-015 1.5290083014406264E-002
8 2097152 1.3322676295501878E-015 2.7383930981159210E-002
8 4194304 1.3322676295501878E-015 5.0347943033557385E-002
8 8388608 1.3322676295501878E-015 9.5150808978360146E-002
8 16777216 1.3322676295501878E-015 0.18287096102721989
