 processes	n	difference	time
           3      262144   3.7307363744965016E-006   3.0550104565918446E-004
           3      524288   1.9093562491079297E-006   5.3059001220390201E-004
           3     1048576   9.9866524738700946E-007   1.0720139835029840E-003
           3     2097152   5.4331952892283653E-007   2.1418979740701616E-003
           3     4194304   3.1564660885052831E-007   4.2325740214437246E-003
           3     8388608   2.0181015525366774E-007   8.1433570012450218E-003
           3    16777216   1.4489206590084791E-007   1.6281420015729964E-002
           4           2  0.40297995348674265        5.0769012887030840E-005
           4           4  0.21897975403778025        3.9979931898415089E-006
           4           8  0.11429488462964033        2.6180059649050236E-006
           4          16   5.8399721279632111E-002   2.8950162231922150E-006
           4          32   2.9518902989483120E-002   3.1020026654005051E-006
           4          64   1.4839951761061787E-002   2.5560148060321808E-006
           4         128   7.4402198018921339E-003   3.0520022846758366E-006
           4         256   3.7252144350894412E-003   3.8400175981223583E-006
           4         512   1.8639176500148125E-003   2.9709772206842899E-006
           4        1024   9.3231958761696987E-004   3.2130046747624874E-006
           4        2048   4.6628299602735623E-004   3.8979924283921719E-006
           4        4096   2.3320529211190433E-004   5.4910196922719479E-006
           4        8192   1.1665158396167996E-004   9.4950082711875439E-006
           4       16384   5.8371016535385678E-005   1.4086952432990074E-005
           4       32768   2.9229804554997685E-005   2.6689027436077595E-005
           4       65536   1.4658966460245892E-005   4.9916969146579504E-005
           4      131072   7.3734893888399711E-006   9.7415992058813572E-005
           4      262144   3.7307363651706282E-006   1.9262998830527067E-004
           4      524288   1.9093562309002721E-006   3.8283102912828326E-004
           4     1048576   9.9866525316016919E-007   7.6636299490928650E-004
           4     2097152   5.4331953469599625E-007   1.5305000124499202E-003
           4     4194304   3.1564660707417147E-007   3.0856360099278390E-003
           4     8388608   2.0181014281916987E-007   6.2617170042358339E-003
           4    16777216   1.4489196642486490E-007   1.2349340016953647E-002
