 processes	n	difference	time
           4       32768   8.8817841970012523E-016   3.2060000000004862E-003
           4       65536   8.8817841970012523E-016   6.4140000000012520E-003
           4      131072   8.8817841970012523E-016   1.3225999999999516E-002
           4      262144   8.8817841970012523E-016   2.7707999999998734E-002
           4      524288   8.8817841970012523E-016   5.6316999999999950E-002
           4     1048576   8.8817841970012523E-016  0.11569300000000027     
           4     2097152   8.8817841970012523E-016  0.23697600000000030     
           4     4194304   8.8817841970012523E-016  0.48346700000000098     
           4     8388608   8.8817841970012523E-016  0.98566399999999987     
           4    16777216   8.8817841970012523E-016   2.0152959999999993     
