processes n error time
1 2 9.9566548151086565E-004 7.0319976657629013E-005
1 4 9.2255215200509610E-007 4.4776010327041149E-005
1 8 4.1145609586124010E-008 7.5265008490532637E-005
1 16 4.1144418094773982E-008 4.4805987272411585E-005
1 32 4.1144418094773982E-008 8.0580997746437788E-005
1 64 4.1144418094773982E-008 5.5243028327822685E-005
1 128 4.1144418094773982E-008 7.4337993282824755E-005
1 256 4.1144418094773982E-008 7.3797011282294989E-005
1 512 4.1144418094773982E-008 1.7250899691134691E-004
1 1024 4.1144418094773982E-008 1.6435096040368080E-004
1 2048 4.1144418094773982E-008 2.9500701930373907E-004
1 4096 4.1144418094773982E-008 5.0893903244286776E-004
1 8192 4.1144418094773982E-008 9.0700399596244097E-004
1 16384 4.1144418094773982E-008 1.7040810198523104E-003
1 32768 4.1144418094773982E-008 3.6086179898120463E-003
1 65536 4.1144418094773982E-008 7.2504829731769860E-003
1 131072 4.1144418094773982E-008 1.4313150022644550E-002
1 262144 4.1144418094773982E-008 2.9925446026027203E-002
1 524288 4.1144418094773982E-008 6.0143692011479288E-002
1 1048576 4.1144418094773982E-008 0.12238260603044182
1 2097152 4.1144418094773982E-008 0.24885049299336970
1 4194304 4.1144418094773982E-008 0.50995413999771699
1 8388608 4.1144418094773982E-008 1.0487797440146096
1 16777216 4.1144418094773982E-008 2.1390109750209376
2 2 9.9566548151086565E-004 1.7426995327696204E-004
2 4 9.2255215156100689E-007 1.5918602002784610E-004
2 8 4.1145609586124010E-008 1.3119302457198501E-004
2 16 4.1144418538863192E-008 1.3829598901793361E-004
2 32 4.1144418094773982E-008 1.8545502098277211E-004
2 64 4.1144418094773982E-008 2.4021801073104143E-004
2 128 4.1144418094773982E-008 2.1890696370974183E-004
2 256 4.1144418094773982E-008 2.5383598404005170E-004
2 512 4.1144418094773982E-008 2.4966098135337234E-004
2 1024 4.1144418094773982E-008 3.1630496960133314E-004
2 2048 4.1144418094773982E-008 3.6430999170988798E-004
2 4096 4.1144418094773982E-008 7.7349896309897304E-004
2 8192 4.1144418094773982E-008 1.1647479841485620E-003
2 16384 4.1144418094773982E-008 2.1158480085432529E-003
2 32768 4.1144418094773982E-008 5.1726849633269012E-003
2 65536 4.1144418094773982E-008 1.2297920999117196E-002
2 131072 4.1144418094773982E-008 2.2309842985123396E-002
2 262144 4.1144418094773982E-008 3.7288033985532820E-002
2 524288 4.1144418094773982E-008 6.7999537044670433E-002
2 1048576 4.1144418094773982E-008 0.12885901395929977
2 2097152 4.1144418094773982E-008 0.25469690398313105
2 4194304 4.1144418094773982E-008 0.51505702600115910
2 8388608 4.1144418094773982E-008 1.0452035430353135
2 16777216 4.1144418094773982E-008 2.1521239819703624
4 4 9.2255215200509610E-007 9.9869210389442742E-003
4 8 4.1145609586124010E-008 1.1341145960614085E-002
4 16 4.1144418538863192E-008 1.1139299022033811E-002
4 32 4.1144418538863192E-008 9.5338780083693564E-003
4 64 4.1144418538863192E-008 9.8539580358192325E-003
4 128 4.1144418538863192E-008 1.1431249964516610E-002
4 256 4.1144418538863192E-008 1.1432641011197120E-002
4 512 4.1144418094773982E-008 1.1726197029929608E-002
4 1024 4.1144418094773982E-008 1.1330831039231271E-002
4 2048 4.1144418094773982E-008 9.9533210159279406E-003
4 4096 4.1144418094773982E-008 1.0855365020688623E-002
4 8192 4.1144418094773982E-008 1.1151270009577274E-002
4 16384 4.1144418094773982E-008 1.1832529038656503E-002
4 32768 4.1144418094773982E-008 1.0983848012983799E-002
4 65536 4.1144418094773982E-008 1.2245282006915659E-002
4 131072 4.1144418094773982E-008 1.2900711037218571E-002
4 262144 4.1144418094773982E-008 1.7164150020107627E-002
4 524288 4.1144418094773982E-008 2.4999183020554483E-002
4 1048576 4.1144418094773982E-008 3.7179400969762355E-002
4 2097152 4.1144418094773982E-008 6.6189654986374080E-002
4 4194304 4.1144418094773982E-008 0.11514489399269223
4 8388608 4.1144418094773982E-008 0.21611888596089557
4 16777216 4.1144418094773982E-008 0.43564975401386619
8 8 4.1145609142034800E-008 2.2552014037501067E-002
8 16 4.1144418094773982E-008 2.5147742999251932E-002
8 32 4.1144418538863192E-008 2.4833741015754640E-002
8 64 4.1144418538863192E-008 2.8757152962498367E-002
8 128 4.1144418538863192E-008 2.4490199983119965E-002
8 256 4.1144418538863192E-008 1.9572494027670473E-002
8 512 4.1144418538863192E-008 2.2104320989456028E-002
8 1024 4.1144418094773982E-008 2.5250495993532240E-002
8 2048 4.1144418094773982E-008 2.5857007014565170E-002
8 4096 4.1144418094773982E-008 2.2867605031933635E-002
8 8192 4.1144418094773982E-008 2.0904486009385437E-002
8 16384 4.1144418094773982E-008 2.5081802974455059E-002
8 32768 4.1144418094773982E-008 2.8321871999651194E-002
8 65536 4.1144418094773982E-008 2.7488715946674347E-002
8 131072 4.1144418094773982E-008 2.6658545946702361E-002
8 262144 4.1144418094773982E-008 2.9547781974542886E-002
8 524288 4.1144418094773982E-008 4.1332807973958552E-002
8 1048576 4.1144418094773982E-008 4.9835373007226735E-002
8 2097152 4.1144418094773982E-008 7.4493243009783328E-002
8 4194304 4.1144418094773982E-008 0.13248838699655607
8 8388608 4.1144418094773982E-008 0.26100683998083696
8 16777216 4.1144418094773982E-008 0.47212497500004247
