processes n error time
1 2 0.40297995348674265 4.2141997255384922E-005
1 4 0.21897975403778025 3.9863982237875462E-005
1 8 0.11429488462964033 7.2174007073044777E-005
1 16 5.8399721279632111E-002 5.6233024224638939E-005
1 32 2.9518902989483120E-002 7.1265036240220070E-005
1 64 1.4839951761061787E-002 5.8570003602653742E-005
1 128 7.4402198018921339E-003 4.6875968109816313E-005
1 256 3.7252144350894412E-003 7.5153016950935125E-005
1 512 1.8639176500148125E-003 4.9939961172640324E-005
1 1024 9.3231958761696987E-004 5.6830001994967461E-005
1 2048 4.6628299602735623E-004 1.1437997454777360E-004
1 4096 2.3320529211190433E-004 1.5089398948475718E-004
1 8192 1.1665158396167996E-004 1.8094998085871339E-004
1 16384 5.8371016535385678E-005 2.8376397676765919E-004
1 32768 2.9229804563879469E-005 5.2475801203399897E-004
1 65536 1.4658966494440762E-005 9.5451896777376533E-004
1 131072 7.3734894314725352E-006 1.9497769535519183E-003
1 262144 3.7307363878191779E-006 3.7090060068294406E-003
1 524288 1.9093562353411642E-006 5.9930090210400522E-003
1 1048576 9.9866524072567131E-007 1.0910803976003081E-002
1 2097152 5.4331953069919336E-007 2.1381085040047765E-002
1 4194304 3.1564667812844505E-007 4.2307725001592189E-002
1 8388608 2.0181071169744769E-007 8.4050142031628639E-002
1 16777216 1.4489652233606876E-007 0.16659032698953524
2 2 0.40297995348674265 1.7996499082073569E-004
2 4 0.21897975403778025 1.6537000192329288E-004
2 8 0.11429488462964033 1.6611703904345632E-004
2 16 5.8399721279632111E-002 1.9400496967136860E-004
2 32 2.9518902989483120E-002 2.5994499446824193E-004
2 64 1.4839951761061787E-002 2.1918001584708691E-004
2 128 7.4402198018921339E-003 2.4784600827842951E-004
2 256 3.7252144350894412E-003 2.4169700918719172E-004
2 512 1.8639176500148125E-003 2.2983195958659053E-004
2 1024 9.3231958761696987E-004 2.5791098596528172E-004
2 2048 4.6628299602735623E-004 2.3463502293452621E-004
2 4096 2.3320529211190433E-004 8.3729550242424011E-003
2 8192 1.1665158396167996E-004 8.4242050070315599E-003
2 16384 5.8371016535385678E-005 8.4714489639736712E-003
2 32768 2.9229804554997685E-005 8.7384179932996631E-003
2 65536 1.4658966468683587E-005 9.1909419861622155E-003
2 131072 7.3734894141530560E-006 9.9483050289563835E-003
2 262144 3.7307363824901074E-006 1.1470458004623652E-002
2 524288 1.9093562357852534E-006 1.4324438991025090E-002
2 1048576 9.9866525271607998E-007 1.6915500978939235E-002
2 2097152 5.4331952270558759E-007 2.7754037990234792E-002
2 4194304 3.1564661506777725E-007 4.6640695014502853E-002
2 8388608 2.0181020587983767E-007 8.1979908980429173E-002
2 16777216 1.4489247179838571E-007 0.15500409604283050
4 4 0.21897975403778025 1.1749602970667183E-002
4 8 0.11429488462964033 1.1519345047418028E-002
4 16 5.8399721279632111E-002 9.8448579665273428E-003
4 32 2.9518902989483120E-002 1.1415984015911818E-002
4 64 1.4839951761061787E-002 9.8481699824333191E-003
4 128 7.4402198018921339E-003 9.4671670231036842E-003
4 256 3.7252144350894412E-003 1.2013373023364693E-002
4 512 1.8639176500148125E-003 9.5400199643336236E-003
4 1024 9.3231958761696987E-004 8.0284890136681497E-003
4 2048 4.6628299602735623E-004 1.0885586962103844E-002
4 4096 2.3320529211190433E-004 9.4376250053755939E-003
4 8192 1.1665158396167996E-004 1.1442799994256347E-002
4 16384 5.8371016535385678E-005 9.9811399704776704E-003
4 32768 2.9229804554997685E-005 1.1406544013880193E-002
4 65536 1.4658966460245892E-005 1.1513194011058658E-002
4 131072 7.3734893795140977E-006 1.0564238997176290E-002
4 262144 3.7307363309757591E-006 1.1876660049892962E-002
4 524288 1.9093561793859237E-006 1.3945134007371962E-002
4 1048576 9.9866520253399926E-007 1.4945917995646596E-002
4 2097152 5.4331949828068105E-007 1.9241158966906369E-002
4 4194304 3.1564662084093698E-007 2.7646381000522524E-002
4 8388608 2.0181014592779434E-007 4.2288671014830470E-002
4 16777216 1.4489191002553525E-007 7.6766349026001990E-002
8 8 0.11429488462964033 2.5276091997511685E-002
8 16 5.8399721279632111E-002 2.1338691993150860E-002
8 32 2.9518902989483120E-002 2.4641080992296338E-002
8 64 1.4839951761061787E-002 2.3206395970191807E-002
8 128 7.4402198018921339E-003 2.3409035988152027E-002
8 256 3.7252144350894412E-003 2.4187094997614622E-002
8 512 1.8639176500148125E-003 2.6635418995283544E-002
8 1024 9.3231958761696987E-004 2.6874055969528854E-002
8 2048 4.6628299602735623E-004 2.2771243995521218E-002
8 4096 2.3320529211190433E-004 2.4850793008226901E-002
8 8192 1.1665158396167996E-004 2.5149054999928921E-002
8 16384 5.8371016535385678E-005 2.1598988969344646E-002
8 32768 2.9229804554997685E-005 2.2514085983857512E-002
8 65536 1.4658966460245892E-005 2.0765302993822843E-002
8 131072 7.3734893795140977E-006 2.3138514952734113E-002
8 262144 3.7307363309757591E-006 2.3867779993452132E-002
8 524288 1.9093561793859237E-006 2.7451357978861779E-002
8 1048576 9.9866519631675033E-007 2.6526051980908960E-002
8 2097152 5.4331948451391554E-007 2.9998842976056039E-002
8 4194304 3.1564658264926493E-007 3.5178260994143784E-002
8 8388608 2.0181014859232960E-007 5.1260676002129912E-002
8 16777216 1.4489190602873236E-007 8.5614862036891282E-002
